"Any";"Mes";"Codi_Districte";"Nom_Districte";"Codi_Barri";"Nom_Barri";"Sexe";"Demanda_ocupacio";"Nombre"
2022;1;2;"Eixample";10;"Sant Antoni";"Dones";"Demanda No Aturats";253
2022;1;3;"Sants-MontjuÃ¯c";11;"el Poble Sec";"Dones";"Demanda No Aturats";324
2022;1;3;"Sants-MontjuÃ¯c";12;"la Marina del Prat Vermell";"Dones";"Demanda No Aturats";14
2022;1;3;"Sants-MontjuÃ¯c";13;"la Marina de Port";"Dones";"Demanda No Aturats";274
2022;1;3;"Sants-MontjuÃ¯c";14;"la Font de la Guatlla";"Dones";"Demanda No Aturats";82
2022;1;3;"Sants-MontjuÃ¯c";15;"Hostafrancs";"Dones";"Demanda No Aturats";128
2022;1;3;"Sants-MontjuÃ¯c";16;"la Bordeta";"Dones";"Demanda No Aturats";150
2022;1;3;"Sants-MontjuÃ¯c";17;"Sants - Badal";"Dones";"Demanda No Aturats";179
2022;1;3;"Sants-MontjuÃ¯c";18;"Sants";"Dones";"Demanda No Aturats";319
2022;1;4;"Les Corts";19;"les Corts";"Dones";"Demanda No Aturats";316
2022;1;4;"Les Corts";20;"la Maternitat i Sant Ramon";"Dones";"Demanda No Aturats";177
2022;1;4;"Les Corts";21;"Pedralbes";"Dones";"Demanda No Aturats";29
2022;1;5;"SarriÃ -Sant Gervasi";22;"Vallvidrera, el Tibidabo i les Planes";"Dones";"Demanda No Aturats";15
2022;1;5;"SarriÃ -Sant Gervasi";23;"SarriÃ ";"Dones";"Demanda No Aturats";67
2022;1;5;"SarriÃ -Sant Gervasi";24;"les Tres Torres";"Dones";"Demanda No Aturats";57
2022;1;5;"SarriÃ -Sant Gervasi";25;"Sant Gervasi - la Bonanova";"Dones";"Demanda No Aturats";91
2022;1;5;"SarriÃ -Sant Gervasi";26;"Sant Gervasi - Galvany";"Dones";"Demanda No Aturats";161
2022;1;5;"SarriÃ -Sant Gervasi";27;"el Putxet i el FarrÃ³";"Dones";"Demanda No Aturats";164
2022;1;6;"GrÃ cia";28;"Vallcarca i els Penitents";"Dones";"Demanda No Aturats";110
2022;1;6;"GrÃ cia";29;"el Coll";"Dones";"Demanda No Aturats";47
2022;1;6;"GrÃ cia";30;"la Salut";"Dones";"Demanda No Aturats";90
2022;1;6;"GrÃ cia";31;"la Vila de GrÃ cia";"Dones";"Demanda No Aturats";317
2022;1;6;"GrÃ cia";32;"el Camp d'en Grassot i GrÃ cia Nova";"Dones";"Demanda No Aturats";227
2022;1;7;"Horta-GuinardÃ³";33;"el Baix GuinardÃ³";"Dones";"Demanda No Aturats";173
2022;1;7;"Horta-GuinardÃ³";34;"Can BarÃ³";"Dones";"Demanda No Aturats";64
